inventory_id,product_id,warehouse_id,stock_quantity,reorder_level,max_stock_level,last_restock_date,days_in_stock,stock_status
INV000167,PRD0034,WH-SOUTH-01,1207,259,4332,2024-07-18,163,In Stock
INV000168,PRD0034,WH-EAST-01,1790,184,4059,2024-06-19,249,In Stock
INV000169,PRD0034,WH-WEST-01,1626,181,2434,2023-12-27,196,In Stock
INV000170,PRD0034,WH-CENTRAL-01,459,131,3884,2023-05-22,281,In Stock
INV000171,PRD0035,WH-NORTH-01,360,245,4679,2024-03-23,179,In Stock
INV000172,PRD0035,WH-SOUTH-01,1251,249,3238,2023-05-20,287,In Stock
INV000173,PRD0035,WH-EAST-01,1935,122,2872,2024-01-19,180,In Stock
INV000174,PRD0035,WH-WEST-01,1532,282,1995,2024-07-25,135,In Stock
INV000175,PRD0035,WH-CENTRAL-01,1834,239,2190,2023-12-28,238,In Stock
INV000176,PRD0036,WH-NORTH-01,1700,259,3806,2023-11-17,53,In Stock
INV000177,PRD0036,WH-SOUTH-01,550,153,3327,2023-09-18,225,In Stock
INV000178,PRD0036,WH-EAST-01,466,92,2547,2024-11-18,259,In Stock
INV000179,PRD0036,WH-WEST-01,1114,173,3485,2023-07-27,300,In Stock
INV000180,PRD0036,WH-CENTRAL-01,734,228,2357,2023-02-21,33,In Stock
INV000181,PRD0037,WH-NORTH-01,261,299,3788,2023-08-30,10,Low Stock
INV000182,PRD0037,WH-SOUTH-01,1694,134,3224,2023-06-01,231,In Stock
INV000183,PRD0037,WH-EAST-01,1354,135,3839,2024-03-15,50,In Stock
INV000184,PRD0037,WH-WEST-01,437,127,4207,2023-01-16,172,In Stock
INV000185,PRD0037,WH-CENTRAL-01,1758,213,3751,2023-05-30,326,In Stock
INV000186,PRD0038,WH-NORTH-01,1177,210,2805,2023-04-17,95,In Stock
INV000187,PRD0038,WH-SOUTH-01,1029,221,2927,2023-08-13,209,In Stock
INV000188,PRD0038,WH-EAST-01,372,72,3655,2024-03-15,51,In Stock
INV000189,PRD0038,WH-WEST-01,1230,92,2509,2024-01-14,174,In Stock
INV000190,PRD0038,WH-CENTRAL-01,907,71,1671,2024-10-06,288,In Stock
INV000191,PRD0039,WH-NORTH-01,226,165,2839,2023-11-07,106,In Stock
INV000192,PRD0039,WH-SOUTH-01,1229,158,4311,2024-03-09,183,In Stock
INV000193,PRD0039,WH-EAST-01,18,172,2184,2023-11-25,326,Low Stock
INV000194,PRD0039,WH-WEST-01,959,67,2449,2023-09-27,262,In Stock
INV000195,PRD0039,WH-CENTRAL-01,1593,80,3096,2023-12-20,239,In Stock
INV000196,PRD0040,WH-NORTH-01,796,230,1727,2023-04-05,327,In Stock
INV000197,PRD0040,WH-SOUTH-01,1855,123,1863,2023-09-24,291,In Stock
INV000198,PRD0040,WH-EAST-01,466,121,4282,2024-01-16,99,In Stock
INV000199,PRD0040,WH-WEST-01,1740,276,1860,2024-10-20,302,In Stock
INV000200,PRD0040,WH-CENTRAL-01,411,293,4350,2023-11-11,175,In Stock
INV000201,PRD0041,WH-NORTH-01,1917,169,3399,2023-02-16,75,In Stock
INV000202,PRD0041,WH-SOUTH-01,1076,200,3104,2024-04-01,181,In Stock
INV000203,PRD0041,WH-EAST-01,878,133,3392,2023-08-13,349,In Stock
INV000204,PRD0041,WH-WEST-01,1124,74,2518,2023-03-18,124,In Stock
INV000205,PRD0041,WH-CENTRAL-01,1794,247,4076,2023-03-11,271,In Stock
INV000206,PRD0042,WH-NORTH-01,1590,157,2765,2023-05-26,225,In Stock
INV000207,PRD0042,WH-SOUTH-01,311,86,4717,2023-09-07,116,In Stock
INV000208,PRD0042,WH-EAST-01,1234,130,1522,2024-01-23,6,In Stock
INV000209,PRD0042,WH-WEST-01,1239,209,3541,2024-01-01,281,In Stock
INV000210,PRD0042,WH-CENTRAL-01,1639,125,3938,2023-10-25,136,In Stock
INV000211,PRD0043,WH-NORTH-01,24,121,4936,2023-10-10,86,Low Stock
INV000212,PRD0043,WH-SOUTH-01,1569,161,1510,2023-07-24,73,In Stock
INV000213,PRD0043,WH-EAST-01,1621,273,1838,2024-10-07,363,In Stock
INV000214,PRD0043,WH-WEST-01,321,66,1727,2024-11-01,163,In Stock
INV000215,PRD0043,WH-CENTRAL-01,629,135,3973,2023-08-21,87,In Stock
INV000216,PRD0044,WH-NORTH-01,1905,229,4363,2024-04-25,362,In Stock
INV000217,PRD0044,WH-SOUTH-01,720,281,2080,2024-03-31,38,In Stock
INV000218,PRD0044,WH-EAST-01,119,195,3863,2023-06-20,217,Low Stock
INV000219,PRD0044,WH-WEST-01,983,92,2855,2024-06-12,141,In Stock
INV000220,PRD0044,WH-CENTRAL-01,761,82,4004,2023-05-25,174,In Stock
INV000221,PRD0045,WH-NORTH-01,487,71,2782,2023-03-03,210,In Stock
INV000222,PRD0045,WH-SOUTH-01,1708,196,4018,2023-06-07,138,In Stock
INV000223,PRD0045,WH-EAST-01,1683,253,2846,2024-02-04,14,In Stock
INV000224,PRD0045,WH-WEST-01,1333,278,1725,2024-09-13,213,In Stock
INV000225,PRD0045,WH-CENTRAL-01,197,220,1768,2024-07-04,243,Low Stock
INV000226,PRD0046,WH-NORTH-01,890,98,2658,2024-11-04,365,In Stock
INV000227,PRD0046,WH-SOUTH-01,1227,137,1551,2024-06-30,240,In Stock
INV000228,PRD0046,WH-EAST-01,1236,191,4639,2024-02-28,51,In Stock
INV000229,PRD0046,WH-WEST-01,1635,110,4442,2023-05-03,129,In Stock
INV000230,PRD0046,WH-CENTRAL-01,632,164,4166,2024-11-23,96,In Stock
INV000231,PRD0047,WH-NORTH-01,412,215,3223,2024-10-31,328,In Stock
INV000232,PRD0047,WH-SOUTH-01,1687,60,1643,2023-05-03,109,In Stock
INV000233,PRD0047,WH-EAST-01,519,50,1981,2023-08-24,87,In Stock
INV000234,PRD0047,WH-WEST-01,1037,57,2570,2024-07-17,276,In Stock
INV000235,PRD0047,WH-CENTRAL-01,244,139,2880,2023-06-14,272,In Stock
INV000236,PRD0048,WH-NORTH-01,707,74,4882,2023-04-09,297,In Stock
INV000237,PRD0048,WH-SOUTH-01,253,159,2978,2023-01-18,271,In Stock
INV000238,PRD0048,WH-EAST-01,1806,68,3400,2024-02-15,197,In Stock
INV000239,PRD0048,WH-WEST-01,843,242,1953,2024-01-16,355,In Stock
INV000240,PRD0048,WH-CENTRAL-01,746,162,3531,2023-10-27,22,In Stock
INV000241,PRD0049,WH-NORTH-01,1927,220,3755,2024-07-31,51,In Stock
INV000242,PRD0049,WH-SOUTH-01,810,287,4003,2023-03-12,264,In Stock
INV000243,PRD0049,WH-EAST-01,712,154,3925,2024-06-11,119,In Stock
INV000244,PRD0049,WH-WEST-01,1377,222,1591,2023-12-08,295,In Stock
INV000245,PRD0049,WH-CENTRAL-01,1296,196,2079,2023-06-01,50,In Stock
INV000246,PRD0050,WH-NORTH-01,1833,134,3235,2024-05-02,323,In Stock
INV000247,PRD0050,WH-SOUTH-01,1235,285,3697,2024-03-15,54,In Stock
INV000248,PRD0050,WH-EAST-01,1289,146,1821,2023-06-29,248,In Stock
INV000249,PRD0050,WH-WEST-01,931,251,2791,2024-06-02,143,In Stock
INV000250,PRD0050,WH-CENTRAL-01,1530,174,3146,2023-04-13,31,In Stock
INV000251,PRD0051,WH-NORTH-01,62,177,2786,2023-09-21,259,Low Stock
INV000252,PRD0051,WH-SOUTH-01,846,186,4551,2023-09-24,29,In Stock
INV000253,PRD0051,WH-EAST-01,513,118,2710,2024-10-25,135,In Stock
INV000254,PRD0051,WH-WEST-01,165,213,2545,2023-10-01,50,Low Stock
INV000255,PRD0051,WH-CENTRAL-01,1481,241,1510,2024-07-29,300,In Stock
INV000256,PRD0052,WH-NORTH-01,1049,66,4503,2023-12-12,96,In Stock
INV000257,PRD0052,WH-SOUTH-01,997,238,1721,2024-11-19,38,In Stock
INV000258,PRD0052,WH-EAST-01,1546,204,2258,2024-05-15,274,In Stock
INV000259,PRD0052,WH-WEST-01,1298,117,4724,2024-07-06,262,In Stock
INV000260,PRD0052,WH-CENTRAL-01,878,206,4986,2023-02-04,170,In Stock
INV000261,PRD0053,WH-NORTH-01,1647,73,4163,2023-02-06,71,In Stock
INV000262,PRD0053,WH-SOUTH-01,1943,198,2567,2024-04-21,209,In Stock
INV000263,PRD0053,WH-EAST-01,462,99,4976,2023-09-22,6,In Stock
INV000264,PRD0053,WH-WEST-01,1962,212,4575,2024-07-04,114,In Stock
INV000265,PRD0053,WH-CENTRAL-01,1101,188,4751,2024-06-27,253,In Stock
INV000266,PRD0054,WH-NORTH-01,455,246,2248,2023-11-16,114,In Stock
INV000267,PRD0054,WH-SOUTH-01,164,58,4912,2023-03-25,352,In Stock
INV000268,PRD0054,WH-EAST-01,3,56,1894,2023-05-17,174,Low Stock
INV000269,PRD0054,WH-WEST-01,1667,113,4510,2023-12-23,49,In Stock
INV000270,PRD0054,WH-CENTRAL-01,728,201,3250,2024-04-17,150,In Stock
INV000271,PRD0055,WH-NORTH-01,414,204,4740,2024-07-20,196,In Stock
INV000272,PRD0055,WH-SOUTH-01,1824,78,4447,2023-01-01,228,In Stock
INV000273,PRD0055,WH-EAST-01,111,101,1671,2023-08-21,237,In Stock
INV000274,PRD0055,WH-WEST-01,1101,254,4930,2024-09-27,245,In Stock
INV000275,PRD0055,WH-CENTRAL-01,193,163,1966,2023-11-24,71,In Stock
INV000276,PRD0056,WH-NORTH-01,454,242,4701,2024-01-03,292,In Stock
INV000277,PRD0056,WH-SOUTH-01,1532,161,2637,2024-04-22,150,In Stock
INV000278,PRD0056,WH-EAST-01,1734,120,1544,2024-01-19,215,In Stock
INV000279,PRD0056,WH-WEST-01,1592,230,1574,2023-12-10,344,In Stock
INV000280,PRD0056,WH-CENTRAL-01,1243,210,2768,2023-05-01,356,In Stock
INV000281,PRD0057,WH-NORTH-01,10,210,4687,2023-05-16,133,Low Stock
INV000282,PRD0057,WH-SOUTH-01,1853,106,4181,2024-05-18,195,In Stock
INV000283,PRD0057,WH-EAST-01,16,241,3196,2023-01-24,241,Low Stock
INV000284,PRD0057,WH-WEST-01,1300,110,3964,2023-09-21,357,In Stock
INV000285,PRD0057,WH-CENTRAL-01,1938,290,4642,2024-03-15,38,In Stock
INV000286,PRD0058,WH-NORTH-01,1186,197,4954,2023-03-16,60,In Stock
INV000287,PRD0058,WH-SOUTH-01,1662,292,1675,2023-12-10,283,In Stock
INV000288,PRD0058,WH-EAST-01,404,190,4167,2023-07-31,206,In Stock
INV000289,PRD0058,WH-WEST-01,35,189,3588,2023-10-21,343,Low Stock
INV000290,PRD0058,WH-CENTRAL-01,873,54,4576,2024-06-27,336,In Stock
INV000291,PRD0059,WH-NORTH-01,294,131,3470,2023-06-25,34,In Stock
INV000292,PRD0059,WH-SOUTH-01,634,85,2224,2023-01-11,54,In Stock
INV000293,PRD0059,WH-EAST-01,120,190,3312,2023-04-07,142,Low Stock
INV000294,PRD0059,WH-WEST-01,1149,294,4939,2023-06-19,291,In Stock
INV000295,PRD0059,WH-CENTRAL-01,426,108,4387,2023-07-19,259,In Stock
INV000296,PRD0060,WH-NORTH-01,1663,272,2697,2023-09-25,76,In Stock
INV000297,PRD0060,WH-SOUTH-01,342,87,3494,2023-09-25,168,In Stock
INV000298,PRD0060,WH-EAST-01,1301,174,2374,2024-06-14,285,In Stock
INV000299,PRD0060,WH-WEST-01,1196,283,4987,2024-01-01,66,In Stock
INV000300,PRD0060,WH-CENTRAL-01,1742,220,2097,2023-04-06,141,In Stock
INV000301,PRD0061,WH-NORTH-01,510,152,3235,2024-07-21,13,In Stock
INV000302,PRD0061,WH-SOUTH-01,1175,234,1600,2023-02-19,223,In Stock
INV000303,PRD0061,WH-EAST-01,1613,285,2805,2024-07-06,224,In Stock
INV000304,PRD0061,WH-WEST-01,1969,52,4076,2023-06-04,348,In Stock
INV000305,PRD0061,WH-CENTRAL-01,468,73,1946,2024-09-22,30,In Stock
INV000306,PRD0062,WH-NORTH-01,1255,207,4183,2024-08-14,183,In Stock
INV000307,PRD0062,WH-SOUTH-01,1198,173,2486,2024-06-02,243,In Stock
INV000308,PRD0062,WH-EAST-01,1496,211,4378,2024-01-31,101,In Stock
INV000309,PRD0062,WH-WEST-01,1618,140,3345,2024-01-27,122,In Stock
INV000310,PRD0062,WH-CENTRAL-01,1175,186,2006,2024-02-29,23,In Stock
INV000311,PRD0063,WH-NORTH-01,1121,180,4617,2023-03-24,77,In Stock
INV000312,PRD0063,WH-SOUTH-01,996,249,4043,2024-07-10,292,In Stock
INV000313,PRD0063,WH-EAST-01,1372,126,2508,2023-02-06,148,In Stock
INV000314,PRD0063,WH-WEST-01,1375,285,3970,2024-10-09,12,In Stock
INV000315,PRD0063,WH-CENTRAL-01,441,248,1865,2023-11-18,272,In Stock
INV000316,PRD0064,WH-NORTH-01,279,259,2049,2024-01-05,306,In Stock
INV000317,PRD0064,WH-SOUTH-01,1547,94,4635,2024-07-24,16,In Stock
INV000318,PRD0064,WH-EAST-01,1079,204,4508,2023-06-28,290,In Stock
INV000319,PRD0064,WH-WEST-01,1179,151,4763,2023-09-13,361,In Stock
INV000320,PRD0064,WH-CENTRAL-01,284,283,1516,2023-02-02,108,In Stock
INV000321,PRD0065,WH-NORTH-01,1086,70,2198,2023-09-13,325,In Stock
INV000322,PRD0065,WH-SOUTH-01,1011,65,2072,2024-05-03,134,In Stock
INV000323,PRD0065,WH-EAST-01,1614,69,3248,2024-03-01,304,In Stock
INV000324,PRD0065,WH-WEST-01,682,104,4164,2023-12-16,117,In Stock
