return_id,order_id,product_id,customer_id,return_date,return_reason,refund_type,refund_amount,restocking_fee,condition_on_return,processed_by
RET0000063,ORD0013109,PRD0238,CUST002734,2024-09-05,Late Delivery,Full Refund,4401.49,2.48,Fair,EMP0144
RET0000064,ORD0052799,PRD0285,CUST012494,2024-11-01,Wrong Item Shipped,Partial Refund,125.5,8.45,Like New,EMP0127
RET0000065,ORD0040715,PRD0449,CUST006190,2023-03-01,Wrong Item Shipped,Partial Refund,67.32,8.3,Fair,EMP0010
RET0000066,ORD0016888,PRD0130,CUST010396,2024-04-12,Duplicate Order,Full Refund,1114.2,11.96,Like New,EMP0018
RET0000067,ORD0088575,PRD0448,CUST010930,2024-03-31,Defective Product,Partial Refund,1248.23,8.94,Fair,EMP0012
RET0000068,ORD0094417,PRD0185,CUST011029,2023-06-01,Better Price Found,Exchange,476.49,7.45,Good,EMP0157
RET0000069,ORD0076875,PRD0408,CUST002245,2023-07-18,Changed Mind,Partial Refund,3479.89,13.04,Good,EMP0008
RET0000070,ORD0041542,PRD0274,CUST005577,2023-04-21,Damaged in Transit,Partial Refund,5928.48,12.58,Good,EMP0102
RET0000071,ORD0042544,PRD0431,CUST003827,2023-02-25,Not As Described,Full Refund,292.87,1.46,Good,EMP0168
RET0000072,ORD0041849,PRD0254,CUST008835,2024-02-08,Wrong Item Shipped,Exchange,1236.01,9.21,Good,EMP0173
RET0000073,ORD0042126,PRD0008,CUST009308,2024-03-22,Late Delivery,Exchange,970.88,0.16,Good,EMP0108
RET0000074,ORD0065253,PRD0290,CUST003122,2025-01-09,Wrong Item Shipped,Partial Refund,1449.74,3.21,Fair,EMP0061
RET0000075,ORD0075156,PRD0042,CUST012264,2024-11-09,Late Delivery,Partial Refund,1304.29,7.36,Fair,EMP0035
RET0000076,ORD0070458,PRD0347,CUST008534,2023-05-18,Changed Mind,Exchange,1360.88,5.39,Good,EMP0177
RET0000077,ORD0059892,PRD0448,CUST018798,2024-10-18,Defective Product,Partial Refund,491.14,8.92,Good,EMP0007
RET0000078,ORD0030839,PRD0054,CUST002272,2024-11-01,Wrong Item Shipped,Partial Refund,3015.31,12.27,Fair,EMP0143
RET0000079,ORD0015187,PRD0056,CUST006175,2024-03-05,Not As Described,Full Refund,402.56,11.53,Good,EMP0065
RET0000080,ORD0088948,PRD0297,CUST003902,2024-04-28,Changed Mind,Partial Refund,794.37,8.52,Good,EMP0063
RET0000081,ORD0015675,PRD0022,CUST018593,2024-02-17,Wrong Item Shipped,Exchange,2291.16,13.97,Good,EMP0014
RET0000082,ORD0070947,PRD0286,CUST000682,2024-08-01,Not As Described,Full Refund,900.9,8.62,Like New,EMP0067
RET0000083,ORD0039986,PRD0469,CUST006375,2024-04-06,Changed Mind,Full Refund,4519.53,4.94,Like New,EMP0002
RET0000084,ORD0011586,PRD0045,CUST005676,2023-03-13,Damaged in Transit,Full Refund,2208.87,2.22,Like New,EMP0178
RET0000085,ORD0072086,PRD0337,CUST004064,2024-01-01,Not As Described,Exchange,3593.58,0.63,Like New,EMP0063
RET0000086,ORD0061264,PRD0022,CUST018427,2025-01-12,Late Delivery,Full Refund,1984.7,5.57,Like New,EMP0102
RET0000087,ORD0008419,PRD0033,CUST005114,2023-06-06,Changed Mind,Full Refund,4038.67,8.96,Like New,EMP0137
RET0000088,ORD0038720,PRD0483,CUST001684,2024-08-20,Defective Product,Partial Refund,274.94,3.0,Fair,EMP0006
RET0000089,ORD0095648,PRD0459,CUST009443,2023-12-23,Duplicate Order,Full Refund,2185.75,7.39,Good,EMP0098
RET0000090,ORD0008808,PRD0165,CUST019509,2024-07-26,Damaged in Transit,Full Refund,3292.31,7.98,Like New,EMP0132
RET0000091,ORD0016871,PRD0280,CUST016420,2023-10-21,Damaged in Transit,Exchange,1071.28,9.81,Poor,EMP0121
RET0000092,ORD0020307,PRD0422,CUST010249,2024-02-19,Defective Product,Exchange,2309.87,6.32,Fair,EMP0154
RET0000093,ORD0095741,PRD0432,CUST000640,2023-07-31,Defective Product,Partial Refund,1964.06,4.47,Good,EMP0097
RET0000094,ORD0031508,PRD0044,CUST004727,2024-08-09,Defective Product,Full Refund,3930.76,2.71,Like New,EMP0170
RET0000095,ORD0021171,PRD0228,CUST007543,2023-07-27,Damaged in Transit,Exchange,1236.14,13.9,Good,EMP0154
RET0000096,ORD0018871,PRD0113,CUST002427,2024-11-13,Damaged in Transit,Full Refund,319.29,6.75,Good,EMP0146
RET0000097,ORD0065430,PRD0113,CUST001027,2024-08-17,Damaged in Transit,Full Refund,2570.72,2.11,Good,EMP0024
RET0000098,ORD0040164,PRD0027,CUST004175,2023-08-19,Wrong Item Shipped,Full Refund,1025.17,10.45,Like New,EMP0094
RET0000099,ORD0060982,PRD0309,CUST018261,2023-06-23,Not As Described,Full Refund,1938.47,13.76,Like New,EMP0025
RET0000100,ORD0021723,PRD0327,CUST018334,2023-07-03,Duplicate Order,Exchange,2028.65,11.92,Good,EMP0044
RET0000101,ORD0041311,PRD0365,CUST019934,2024-09-16,Better Price Found,Partial Refund,4170.18,13.32,Good,EMP0076
RET0000102,ORD0075308,PRD0175,CUST017530,2025-01-20,Not As Described,Exchange,1748.91,2.55,Fair,EMP0062
RET0000103,ORD0094654,PRD0410,CUST003994,2024-09-26,Better Price Found,Partial Refund,227.56,14.8,Poor,EMP0080
RET0000104,ORD0089930,PRD0331,CUST004984,2024-06-06,Not As Described,Full Refund,1590.47,1.05,Fair,EMP0157
RET0000105,ORD0020236,PRD0297,CUST002519,2024-08-05,Wrong Item Shipped,Partial Refund,2986.96,9.87,Good,EMP0178
RET0000106,ORD0013180,PRD0372,CUST003027,2023-07-26,Late Delivery,Exchange,892.67,2.02,Good,EMP0167
RET0000107,ORD0073831,PRD0477,CUST005187,2023-02-12,Defective Product,Exchange,4902.61,14.16,Good,EMP0171
RET0000108,ORD0033059,PRD0477,CUST013799,2024-03-11,Changed Mind,Partial Refund,1048.99,5.07,Like New,EMP0182
RET0000109,ORD0024602,PRD0082,CUST004040,2023-07-12,Damaged in Transit,Full Refund,4296.88,0.82,Like New,EMP0095
RET0000110,ORD0000017,PRD0217,CUST004499,2024-03-23,Not As Described,Partial Refund,2629.98,13.22,Like New,EMP0039
RET0000111,ORD0060796,PRD0305,CUST009781,2023-12-27,Wrong Item Shipped,Full Refund,1180.13,13.05,Like New,EMP0171
RET0000112,ORD0014616,PRD0301,CUST006952,2024-10-14,Wrong Item Shipped,Partial Refund,2636.36,8.11,Fair,EMP0145
RET0000113,ORD0069946,PRD0019,CUST012573,2024-02-27,Defective Product,Full Refund,8054.98,13.06,Like New,EMP0159
RET0000114,ORD0022930,PRD0306,CUST003398,2024-01-27,Late Delivery,Partial Refund,4471.56,8.86,Poor,EMP0008
RET0000115,ORD0063294,PRD0485,CUST019001,2025-01-18,Wrong Item Shipped,Full Refund,1813.59,7.76,Like New,EMP0140
RET0000116,ORD0058435,PRD0475,CUST016391,2023-11-15,Better Price Found,Full Refund,106.76,8.12,Good,EMP0071
RET0000117,ORD0064791,PRD0410,CUST018294,2024-06-13,Not As Described,Full Refund,1873.24,11.31,Good,EMP0123
RET0000118,ORD0060218,PRD0048,CUST008368,2023-03-16,Changed Mind,Full Refund,1060.37,7.08,Good,EMP0193
RET0000119,ORD0001593,PRD0197,CUST014933,2024-01-24,Damaged in Transit,Exchange,3880.82,11.79,Like New,EMP0122
RET0000120,ORD0050122,PRD0234,CUST005063,2024-08-18,Not As Described,Exchange,1524.62,6.56,Fair,EMP0121
RET0000121,ORD0098519,PRD0223,CUST000032,2023-09-29,Duplicate Order,Partial Refund,37.3,12.85,Damaged,EMP0189
RET0000122,ORD0016002,PRD0338,CUST019641,2024-12-10,Wrong Item Shipped,Full Refund,1286.85,4.13,Damaged,EMP0199
RET0000123,ORD0028361,PRD0432,CUST001740,2024-03-02,Wrong Item Shipped,Partial Refund,101.4,14.03,Like New,EMP0024
RET0000124,ORD0083585,PRD0225,CUST019347,2024-07-29,Better Price Found,Partial Refund,5177.43,1.38,Good,EMP0161
RET0000125,ORD0074071,PRD0010,CUST015903,2024-11-12,Better Price Found,Exchange,3319.24,0.34,Good,EMP0092
RET0000126,ORD0045317,PRD0141,CUST005648,2023-03-14,Damaged in Transit,Exchange,3010.45,7.8,Like New,EMP0026
RET0000127,ORD0071526,PRD0040,CUST004108,2024-04-25,Late Delivery,Exchange,29.65,4.45,Like New,EMP0147
RET0000128,ORD0063136,PRD0462,CUST001862,2024-02-23,Better Price Found,Partial Refund,1392.7,8.49,Fair,EMP0053
RET0000129,ORD0093209,PRD0391,CUST013041,2023-12-10,Late Delivery,Full Refund,2047.67,1.63,Like New,EMP0116
RET0000130,ORD0051485,PRD0398,CUST001970,2024-06-12,Not As Described,Full Refund,1892.49,2.15,Good,EMP0142
RET0000131,ORD0040363,PRD0280,CUST002597,2023-03-07,Damaged in Transit,Exchange,4331.16,5.08,Good,EMP0148
RET0000132,ORD0044615,PRD0117,CUST008071,2024-11-17,Damaged in Transit,Exchange,3649.42,7.39,Fair,EMP0198
RET0000133,ORD0062354,PRD0339,CUST000353,2023-11-09,Changed Mind,Partial Refund,498.27,13.27,Good,EMP0102
RET0000134,ORD0089146,PRD0410,CUST016267,2023-04-02,Defective Product,Exchange,238.15,3.55,Good,EMP0135
RET0000135,ORD0064195,PRD0317,CUST018455,2023-08-25,Better Price Found,Partial Refund,3519.81,11.85,Good,EMP0195
RET0000136,ORD0063237,PRD0072,CUST006809,2024-05-11,Duplicate Order,Full Refund,2491.49,1.99,Like New,EMP0170
RET0000137,ORD0002911,PRD0022,CUST009560,2023-03-13,Duplicate Order,Full Refund,1693.6,4.19,Like New,EMP0019
RET0000138,ORD0028616,PRD0339,CUST000726,2024-06-01,Better Price Found,Exchange,947.65,6.97,Like New,EMP0129
RET0000139,ORD0099297,PRD0288,CUST000850,2024-03-24,Duplicate Order,Full Refund,389.5,11.72,Good,EMP0196
RET0000140,ORD0096084,PRD0081,CUST011964,2024-08-25,Wrong Item Shipped,Partial Refund,1048.29,5.54,Poor,EMP0132
RET0000141,ORD0098108,PRD0265,CUST004031,2023-12-08,Better Price Found,Exchange,1354.44,6.07,Like New,EMP0051
RET0000142,ORD0041347,PRD0338,CUST014662,2023-11-04,Defective Product,Exchange,4224.03,7.33,Fair,EMP0152
RET0000143,ORD0047380,PRD0400,CUST007820,2024-10-13,Damaged in Transit,Full Refund,532.31,4.66,Good,EMP0168
RET0000144,ORD0023589,PRD0166,CUST011268,2024-11-19,Duplicate Order,Partial Refund,2921.53,14.07,Like New,EMP0095
RET0000145,ORD0017559,PRD0257,CUST014994,2023-12-07,Defective Product,Exchange,1493.68,5.34,Good,EMP0160
RET0000146,ORD0011843,PRD0218,CUST003697,2023-08-19,Damaged in Transit,Partial Refund,4639.47,0.9,Fair,EMP0139
RET0000147,ORD0060777,PRD0435,CUST001124,2023-02-24,Not As Described,Full Refund,704.23,11.69,Good,EMP0193
RET0000148,ORD0029820,PRD0168,CUST006123,2023-11-27,Better Price Found,Exchange,1068.18,11.22,Good,EMP0005
RET0000149,ORD0073765,PRD0380,CUST014049,2023-11-05,Late Delivery,Exchange,3980.09,3.08,Good,EMP0051
RET0000150,ORD0011011,PRD0100,CUST001753,2024-05-26,Duplicate Order,Full Refund,1540.89,7.54,Damaged,EMP0022
RET0000151,ORD0018124,PRD0322,CUST016455,2023-08-30,Wrong Item Shipped,Partial Refund,669.73,8.66,Good,EMP0133
RET0000152,ORD0092999,PRD0174,CUST007391,2024-02-15,Changed Mind,Exchange,609.17,1.56,Good,EMP0089
RET0000153,ORD0064099,PRD0178,CUST005172,2025-01-05,Defective Product,Partial Refund,1613.91,13.27,Poor,EMP0010
RET0000154,ORD0027564,PRD0083,CUST000055,2023-09-09,Late Delivery,Exchange,292.4,1.24,Like New,EMP0070
RET0000155,ORD0095342,PRD0390,CUST018091,2023-11-30,Not As Described,Partial Refund,214.79,1.19,Good,EMP0168
RET0000156,ORD0082049,PRD0024,CUST005141,2023-03-12,Better Price Found,Partial Refund,1877.86,7.46,Good,EMP0121
RET0000157,ORD0094644,PRD0287,CUST007446,2025-01-23,Damaged in Transit,Partial Refund,1155.0,11.75,Fair,EMP0070
RET0000158,ORD0037908,PRD0322,CUST002029,2024-10-13,Better Price Found,Exchange,2748.41,12.82,Damaged,EMP0183
RET0000159,ORD0048112,PRD0035,CUST015894,2024-10-12,Defective Product,Partial Refund,1338.29,4.5,Like New,EMP0129
RET0000160,ORD0005296,PRD0412,CUST003133,2024-03-31,Changed Mind,Full Refund,377.43,13.83,Like New,EMP0103
RET0000161,ORD0043909,PRD0358,CUST013141,2024-10-29,Duplicate Order,Full Refund,573.58,6.01,Fair,EMP0155
RET0000162,ORD0022272,PRD0017,CUST004458,2024-09-01,Defective Product,Exchange,1020.39,9.43,Fair,EMP0044
RET0000163,ORD0097596,PRD0313,CUST014285,2024-12-15,Better Price Found,Exchange,2854.49,11.91,Like New,EMP0080
RET0000164,ORD0097054,PRD0363,CUST013825,2023-03-19,Late Delivery,Partial Refund,2738.55,11.52,Good,EMP0055
RET0000165,ORD0019074,PRD0015,CUST010311,2024-10-04,Late Delivery,Exchange,2738.15,4.06,Good,EMP0143
RET0000166,ORD0032556,PRD0302,CUST008903,2024-02-16,Better Price Found,Full Refund,1934.85,14.26,Like New,EMP0177
RET0000167,ORD0043835,PRD0321,CUST015070,2023-04-07,Damaged in Transit,Full Refund,2978.87,8.44,Like New,EMP0064
RET0000168,ORD0033124,PRD0375,CUST004264,2023-07-29,Wrong Item Shipped,Full Refund,3048.75,8.88,Like New,EMP0125
RET0000169,ORD0084444,PRD0234,CUST000613,2024-06-05,Wrong Item Shipped,Exchange,145.21,3.44,Good,EMP0133
RET0000170,ORD0016040,PRD0364,CUST005437,2024-02-20,Damaged in Transit,Exchange,532.28,10.3,Like New,EMP0126
RET0000171,ORD0058877,PRD0258,CUST013994,2023-10-27,Duplicate Order,Exchange,2154.89,6.09,Good,EMP0109
RET0000172,ORD0065640,PRD0221,CUST005732,2024-02-08,Better Price Found,Partial Refund,743.22,4.88,Like New,EMP0129
RET0000173,ORD0012350,PRD0237,CUST000687,2023-02-28,Wrong Item Shipped,Partial Refund,3171.1,4.64,Fair,EMP0108
RET0000174,ORD0068641,PRD0031,CUST019054,2023-03-08,Not As Described,Exchange,1274.47,2.03,Like New,EMP0060
RET0000175,ORD0088660,PRD0260,CUST001174,2023-07-09,Defective Product,Partial Refund,482.12,7.59,Fair,EMP0028
RET0000176,ORD0064835,PRD0129,CUST017380,2023-10-03,Not As Described,Exchange,4480.67,9.96,Good,EMP0110
RET0000177,ORD0002747,PRD0033,CUST002387,2023-05-16,Late Delivery,Exchange,974.09,0.26,Good,EMP0093
RET0000178,ORD0052085,PRD0301,CUST017245,2024-05-11,Late Delivery,Partial Refund,6156.22,9.97,Good,EMP0146
RET0000179,ORD0064635,PRD0358,CUST016130,2024-02-13,Defective Product,Exchange,5807.12,0.21,Good,EMP0067
RET0000180,ORD0011111,PRD0070,CUST015972,2023-10-14,Not As Described,Exchange,2135.89,12.25,Damaged,EMP0133
RET0000181,ORD0052289,PRD0433,CUST004010,2025-01-02,Late Delivery,Exchange,4982.65,4.95,Good,EMP0130
RET0000182,ORD0003817,PRD0092,CUST018702,2023-02-09,Not As Described,Partial Refund,5160.99,14.84,Poor,EMP0136
RET0000183,ORD0094554,PRD0004,CUST019751,2024-11-09,Late Delivery,Exchange,2286.42,14.92,Good,EMP0169
RET0000184,ORD0023202,PRD0382,CUST006797,2024-08-22,Duplicate Order,Exchange,4674.81,1.75,Damaged,EMP0062
RET0000185,ORD0097777,PRD0282,CUST007012,2024-01-10,Better Price Found,Full Refund,1087.54,6.25,Fair,EMP0085
RET0000186,ORD0049116,PRD0370,CUST003086,2023-07-02,Late Delivery,Partial Refund,1014.44,12.69,Good,EMP0098
RET0000187,ORD0077090,PRD0245,CUST004819,2024-09-20,Duplicate Order,Partial Refund,316.07,0.27,Poor,EMP0109
RET0000188,ORD0025775,PRD0355,CUST014787,2024-02-25,Changed Mind,Full Refund,1476.29,7.66,Like New,EMP0118
RET0000189,ORD0084614,PRD0383,CUST004698,2023-08-20,Late Delivery,Full Refund,373.59,10.23,Fair,EMP0057
RET0000190,ORD0087771,PRD0394,CUST017032,2024-04-20,Duplicate Order,Full Refund,2940.89,12.28,Good,EMP0159
RET0000191,ORD0071892,PRD0026,CUST012326,2024-05-10,Defective Product,Full Refund,2381.56,14.16,Poor,EMP0164
RET0000192,ORD0043751,PRD0039,CUST017072,2024-05-21,Duplicate Order,Partial Refund,4632.82,6.83,Fair,EMP0038
RET0000193,ORD0099863,PRD0051,CUST000986,2023-08-03,Defective Product,Partial Refund,3292.07,2.93,Good,EMP0166
RET0000194,ORD0068540,PRD0429,CUST007879,2023-08-06,Damaged in Transit,Partial Refund,666.36,6.09,Good,EMP0183
RET0000195,ORD0077784,PRD0232,CUST002245,2023-02-16,Damaged in Transit,Partial Refund,2321.63,9.36,Like New,EMP0083
RET0000196,ORD0018208,PRD0201,CUST009652,2023-09-07,Defective Product,Full Refund,1257.15,5.07,Like New,EMP0114
RET0000197,ORD0085500,PRD0375,CUST011434,2023-07-07,Not As Described,Exchange,3059.73,5.24,Poor,EMP0162
RET0000198,ORD0056764,PRD0138,CUST019076,2024-03-27,Defective Product,Exchange,232.52,13.05,Fair,EMP0142
RET0000199,ORD0039105,PRD0436,CUST010354,2024-08-20,Damaged in Transit,Exchange,931.88,14.74,Good,EMP0199
RET0000200,ORD0072188,PRD0172,CUST000857,2023-04-03,Changed Mind,Partial Refund,1746.92,6.51,Good,EMP0079
RET0000201,ORD0086150,PRD0044,CUST014573,2024-07-31,Late Delivery,Partial Refund,6456.21,8.59,Like New,EMP0192
RET0000202,ORD0069223,PRD0466,CUST011936,2023-11-29,Wrong Item Shipped,Partial Refund,455.81,6.76,Good,EMP0139
RET0000203,ORD0032189,PRD0230,CUST009494,2024-04-06,Late Delivery,Exchange,279.21,9.89,Good,EMP0018
RET0000204,ORD0022993,PRD0081,CUST006053,2024-12-26,Better Price Found,Exchange,1731.41,10.46,Good,EMP0131
RET0000205,ORD0058006,PRD0120,CUST006622,2023-03-06,Defective Product,Partial Refund,459.04,14.47,Like New,EMP0017
RET0000206,ORD0016498,PRD0098,CUST015450,2023-09-21,Wrong Item Shipped,Full Refund,3891.3,8.18,Like New,EMP0081
RET0000207,ORD0063958,PRD0312,CUST010282,2024-11-13,Wrong Item Shipped,Exchange,1242.12,4.94,Poor,EMP0023
RET0000208,ORD0097440,PRD0152,CUST015320,2023-05-04,Wrong Item Shipped,Exchange,2749.67,8.44,Fair,EMP0117
RET0000209,ORD0022116,PRD0212,CUST000415,2023-09-29,Damaged in Transit,Full Refund,367.63,8.49,Fair,EMP0128
RET0000210,ORD0092264,PRD0226,CUST001944,2024-11-19,Duplicate Order,Exchange,2944.71,2.88,Fair,EMP0103
RET0000211,ORD0018821,PRD0117,CUST000770,2023-07-01,Not As Described,Partial Refund,20.77,0.43,Like New,EMP0170
RET0000212,ORD0097379,PRD0095,CUST003336,2024-08-27,Late Delivery,Exchange,125.08,2.43,Like New,EMP0159
RET0000213,ORD0044292,PRD0106,CUST001155,2024-12-28,Damaged in Transit,Exchange,3058.36,7.23,Poor,EMP0013
RET0000214,ORD0064851,PRD0054,CUST006361,2024-11-30,Better Price Found,Exchange,77.0,9.75,Fair,EMP0188
RET0000215,ORD0041061,PRD0398,CUST002549,2024-04-26,Damaged in Transit,Exchange,1745.57,2.41,Damaged,EMP0016
RET0000216,ORD0075770,PRD0449,CUST012552,2024-01-07,Duplicate Order,Exchange,3337.39,2.1,Like New,EMP0136
